"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::Deferred settlement","Creazione ritardata"
"Customweb_OPPCw::Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Customweb_OPPCw::Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Customweb_OPPCw::Define the height of the iframe element (only has an effect if iframe authorization is selected).","éDefinire l'altezza dell'elemento iframe (ha effetto solo se é selezionata l'autorizzazione iframe)."
"Customweb_OPPCw::Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Customweb_OPPCw::Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Customweb_OPPCw::Delayed","Ritardato"
"Customweb_OPPCw::Delete","Cancellare"
"Customweb_OPPCw::Delivery address","Indirizzo di consegna"
"Customweb_OPPCw::Denied Payment Status","Negato status dei pagamenti"
"Customweb_OPPCw::Deny scoring","Deny scoring"
"Customweb_OPPCw::Deptor ID","Deptor ID"
"Customweb_OPPCw::Description","Descrizione"
"Customweb_OPPCw::Diners Club","Diners Club"
"Customweb_OPPCw::Direct (Payment Page / Hidden Authorization)","Direct (Payment Page / Hidden Authorization)"
"Customweb_OPPCw::Direct Debits","Direct Debits"
"Customweb_OPPCw::Direct E-Banking","Direct E-Banking"
"Customweb_OPPCw::Direct capture after order","Subito dopo l'acquisto"
"Customweb_OPPCw::Directly after order","Subito dopo l'acquisto"
"Customweb_OPPCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_OPPCw::Disabled","Disattivato"
"Customweb_OPPCw::Discount","Sconto"
"Customweb_OPPCw::Discount Amount","Sconto"
"Customweb_OPPCw::Discover","Discover"
"Customweb_OPPCw::Display","Display"
"Customweb_OPPCw::Display Conditions","Display Conditions"
"Customweb_OPPCw::Display Customer ID","Display Customer ID"
"Customweb_OPPCw::Do not display","Do not display"
"Customweb_OPPCw::Do not modify styling","Do not modify styling"
"Customweb_OPPCw::Do not send basket","Do not send basket"
"Customweb_OPPCw::Don't change order status","Non cambiare lo stato dell'ordine"
"Customweb_OPPCw::Due Date","Due Date"
"Customweb_OPPCw::During authorization","Durante l'autorizzazione"
"Customweb_OPPCw::During the authorization","During the authorization"
"Customweb_OPPCw::Dynamic styling","Dynamic styling"
"Customweb_OPPCw::Edit","Modifica"
"Customweb_OPPCw::Edit Invoice #%s","Modifica fattura #%s"
"Customweb_OPPCw::Email Address","Indirizzo email"
"Customweb_OPPCw::Empty version number field name","Campo del numero vuoto"
"Customweb_OPPCw::Enable or disable logging.","Attiva o disattiva logging."
"Customweb_OPPCw::Enable the payment method","Attiva la modalità di pagamento"
"Customweb_OPPCw::Enabled","Attivato"
"Customweb_OPPCw::Enter the Security Sender, UserID and Password that is provided to you by Open Payment Platform.","Inserisci il Security Sender, UserID e password forniti da Open Payment Platform."
"Customweb_OPPCw::Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Customweb_OPPCw::Entity ID","Entity ID"
